id,name,desc,dragon_images
1,Ancient god dragon,"Dragon living in the temple of the dragon. It is said that it is a dragon that has the power of a god. It can be seen mainly in a bright place, in contact with the sky. It is mainly known as an agent of the god. [Available: Heavenly Temple]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/god_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602135904761123331.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602135905460236319.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021359051763612649.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060213590520398069.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602135905543678956.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021359061585333873.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180416164159907691453.png']"
2,Wind dragon,"As a dragon that loves windy days, it flies in the wind. When it is a baby, it is cared for by parents, but when it grows up, it leaves the group and lives separately. It does not come out well when the wind is not blowing. ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140334152911557.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021403351551534074.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060214033524686742.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140335332634630.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140335765584181.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021403361242877679.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140336901111863.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180723122214635725142.png']"
3,Six Leg Horn Dragon,It is a very peculiar dragon with six legs. It is popular with people for its gentle personality. The horns above the head are especially attractive. I like to jump more than I do. [Available: Temple of the Wind],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021405301388538488.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140531792982157.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021405311619504579.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021405311337472535.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140531308868055.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140532811018689.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180205104248165674534.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2018072312260158174509.png']"
4,Blue dragon,It is a dragon that is said to be driving clouds and rain in Eastern mythology. It is said that the Imoogi obtained Yeouiju and became a blue dragon. It mainly knows how to use magic related to the weather. [Obtainable: Temple of the Wind ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140631702421472.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140631646427653.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140631950805236.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021406311601665318.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140632524215732.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140632516717784.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021406322016848798.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2020030218012895924419.png']"
5,Fire dragon,Dragon is said to live by eating fire. It is said to live in a hot area and loves fire. It is belligerent and has a fiery character. [Obtainable: Fire Mountain ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021407152095670061.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602140715937131537.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021407171472728609.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021407171366143375.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021407171345573103.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021407171589656763.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021407181028523674.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201902081854411628804569.png']"
6,Lightning Wyrm,"A lightning dragon that existed in ancient times. It is said that it flies at the same speed as lightning. When it flies at a high speed, it flies at an invisible speed. It mainly acts at night, and few people have seen it because it is too fast. [Acquisition Possible: Mountain of Fire ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141158103146678.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021411581691842336.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021411591520202007.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141159429872436.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021411591816795965.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021411591597039045.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021412001719860572.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180723122351231534040.png']"
7,Lava Dragon,Dragons born in lava have skin that can withstand temperatures of thousands of degrees. It is difficult to see eggs because they lay eggs in lava. [Available: Mountain of Fire],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021412461793548557.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021412461132680730.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021412461519212245.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141246697935992.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021412471268135865.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021412471706872663.png']"
8,Phoenix,"It is said that if you are born in fire and die, you will be born again as an egg. If you die, it is called a phoenix because it is reborn as an egg. It has a fire all over the body. [Available: Mountain of Fire]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021413411043031287.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141341671826905.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060214134280091275.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021413421849902724.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141342709688866.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021413421829390988.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20171027125403683940582.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20190501143551932198052.png']"
9,Ice Dragon,A dragon that retains the cold and cold of the cold. It breathes out a breath that freezes everything. It is highly aggressive and requires attention. [Available: Shipwreck],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021414371729124291.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141437245408263.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141437940244740.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021414381730022157.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141438475738382.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141438355192481.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021414392070025070.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180723122650933429254.png']"
10,Nessie,"A monster living in Loch Ness. He doesn't show up very often. It lives mainly in deep water, but sometimes it rises above the water and surprises people. The cute figure is popular with people. [Available: Shipwreck]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021415171433450659.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021415171725786790.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141517329076034.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141517839850369.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021415181086361420.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021415182124589056.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201710271420592118769882.png']"
